Scope,Class
 Overhaul described as GLYCOL FLASH DRUM PSV 1 located at PAZ/FPSOT/GAS/DEHYD/TO-PSV1-300502,Pressure Safety Device
 Overhaul described as FOAM CONCENT TANK A PRES SAFETY VALVE located at PAZ/FPSOH/CRS/FWAT /HU-PSV-013013A,Pressure Safety Device
 Overhaul described as UM WATER INJ. PRESS. SAFETY VALVE 1 located at PAZ/FPSOT/WAT/WINJ /TO-PSV1-54018A,Pressure Safety Device
 Overhaul described as LUB SYSTEM PRESS. SAFETY VALVE located at PAZ/FPSOT/WAT/WINJ /TO-PSV-543530A,Pressure Safety Device
 Overhaul described as UM WATER INJ. PRESS. SAFETY VALVE 3 located at PAZ/FPSOT/WAT/WINJ /TO-PSV3-54018A,Pressure Safety Device
 Overhaul described as LUB SYSTEM PRESS. SAFETY VALVE located at PAZ/FPSOT/WAT/WINJ /TO-PSV-543530B,Pressure Safety Device
 PSV-Replace/Scrap described as LUB SYSTEM PRESS. SAFETY VALVE located at PAZ/FPSOT/WAT/WINJ /TO-PSV-540530,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE A located at PAZ/FPSOT/GAS/COMP /TO-PSV2-31448A,Pressure Safety Device
 Overhaul described as P1 CHILLED WATER PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/HVAC /TO-PSV-09901,Pressure Safety Device
 Scrap/replace described as OUTLET FILTER UNIT THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-TSV-510565,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-012001A,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279401B,Pressure Safety Device
 Scrap/replace described as FOAM MONITOR VALVE SKID PSV located at PAZ/FPSOT/CRS/FWAT /TO-PSV-012101C,Pressure Safety Device
 Overhaul described as OUTLET PUMP A PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/COMP /TO-PSV-31119A,Pressure Safety Device
 Overhaul described as HEATER MANIFOLD PRESSURE SAFETY VALVE 2 located at PAZ/FPSOT/OIL/SDS  /TO-PSV2-29016,Pressure Safety Device
 Overhaul described as METHANOL STORAGE TANK THERMAL SAFETY VLV located at PAZ/FPSOT/COF/CHEM /TO-TSV-75001A,Pressure Safety Device
 Overhaul described as DW HYDRO TANK  PRESSURE SAFETY VALVE located at PAZ/FPSOH/HSG/UPWAT/HU-PSV-852002,Pressure Safety Device
 Scrap/Replace described as GLYCOL CIRC PUMP A PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-300506A,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-011801A,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-011901A,Pressure Safety Device
 Overhaul described as TO LP FLARE PRESSURE SAFETY VALVE 1 located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75024B,Pressure Safety Device
 Scrap/replace described as FOAM MONITOR VALVE SKID PSV located at PAZ/FPSOT/CRS/FWAT /TO-PSV-012101H,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-011101A,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-011501A,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-011701A,Pressure Safety Device
 Scrap/replace described as DOUBLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-011601A,Pressure Safety Device
 Overhaul described as INLET SCRUBBER PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/COMP /TO-PSV2-31603,Pressure Safety Device
 Overhaul described as O9 P.W DEGASSING PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV3-27083,Pressure Safety Device
 Overhaul described as O9 P40 FLN 1 PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20007A,Pressure Safety Device
 Overhaul described as TO LP FLARE PRESSURE SAFETY VALVE 1 located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75024A,Pressure Safety Device
 Overhaul described as INLET SCRUBBER PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/COMP /TO-PSV1-31603,Pressure Safety Device
 Overhaul described as C.O OFF. TANDEM PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/LOAD /TO-PSV-25046,Pressure Safety Device
 Overhaul described as P.W SAND BAGGING PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV-271523,Pressure Safety Device
 Overhaul described as DISPOSAL CAISSON PRESSURE SAFETY VALVE located at PAZ/FPSOT/WAT/WDEOX/TO-PSV-53020,Pressure Safety Device
 Overhaul described as DISCHARGE PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOH/HSG/ACCOM/HU-PSV-820501A,Pressure Safety Device
 Overhaul described as FEED PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV1-21005A,Pressure Safety Device
 Overhaul described as PRESS. SAFETY VALVE located at PAZ/FPSOT/ELE/PWG  /TO-PSV-603529B,Pressure Safety Device
 Scrap/replace described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-27529,Pressure Safety Device
 PAZ/ TO-PSV-9143 - Replace/scrap described as HYDRAULIC PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSV-9143,Pressure Safety Device
 PAZ/ TO-PSV-9144 - Replace/Scrap described as HYDRAULIC PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSV-9144,Pressure Safety Device
 PAZ/ TO-PSV-9156 - Replace/Scrap described as ACCUMULATOR PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSV-9156,Pressure Safety Device
 Overhaul described as OUTLET TO DRUMS PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-75033C,Pressure Safety Device
 Overhaul described as AIR COMPRESSOR PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/AIR  /TO-PSV-070505B,Pressure Safety Device
 Overhaul described as PRESS. SAFETY VALVE located at PAZ/FPSOT/ELE/PWG  /TO-PSV-603529C,Pressure Safety Device
  Replacement/Scrap described as SYSTEM TANK PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-1387,Pressure Safety Device
 Overhaul described as OPEN DRAIN THERMAL SAFETY VALVE located at PAZ/FPSOT/ELE/PWG  /TO-TSV-72035E,Pressure Safety Device
 Overhaul described as PIG TRAP A PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20117A,Pressure Safety Device
 Overhaul described as SW COARSE FILT PRESSURE SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-PSV-51001B,Pressure Safety Device
 Overhaul described as OUTLET PUMP E PRESSURE SAFETY VALVE located at PAZ/FPSOT/WAT/WDEOX/TO-PSV-530525E,Pressure Safety Device
 Overhaul described as GAS DEHYDRATION CONTACTOR PSV located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-30037,Pressure Safety Device
 Overhaul described as PRESS. SAFETY VALVE 2 located at PAZ/FPSOT/WAT/WINJ /TO-PSV2-54018B,Pressure Safety Device
 Overhaul described as OUTLET TO DRUMS PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-75073B,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/COMP /TO-PSV1-31503,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20220A,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV1-21011B1,Pressure Safety Device
 Overhaul described as SEAWATER SUPPLY PRESSURE SAFETY VALVE located at PAZ/FPSOT/WAT/ELCL /TO-PSV-520503,Pressure Safety Device
 Overhaul described as SW COARSE FILT PRESSURE SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-PSV-51001C,Pressure Safety Device
 Overhaul described as TO LP FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/COOLW/TO-PSV2-76042,Pressure Safety Device
 Overhaul described as TO LP FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/COOLW/TO-PSV1-76042,Pressure Safety Device
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV2-75099A,Pressure Safety Device
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75099A,Pressure Safety Device
 Overhaul described as PIG TRAP PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20077,Pressure Safety Device
 PAZ/TO-PSV-9145- Replace/Scrap described as HYDRAULIC PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSV-9145,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010101B,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010801A,Pressure Safety Device
 Replace/Scrap described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010201B,Pressure Safety Device
 Replace/Scrap described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010201A,Pressure Safety Device
 Scrap/replace described as FOAM MONITOR VALVE SKID PSV located at PAZ/FPSOT/CRS/FWAT /TO-PSV-012101K,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-012201A,Pressure Safety Device
 Overhaul described as TO DIPSOSAL CAISSON PRESS. SAFETY VALVE1 located at PAZ/FPSOT/WAT/WINJ /TO-PSV1-54020,Pressure Safety Device
 Overhaul described as PRESS. SAFETY VALVE 3 located at PAZ/FPSOT/WAT/WINJ /TO-PSV3-54018B,Pressure Safety Device
 Overhaul described as TO DIPSOSAL CAISSON PRESS. SAFETY VALVE3 located at PAZ/FPSOT/WAT/WINJ /TO-PSV3-54020,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010301B,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010301A,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010401B,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010401A,Pressure Safety Device
 Scrap/Replace described as OUTLET FILTER UNIT THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-TSV-510505B,Pressure Safety Device
 Scrap/replace described as LIMIT PILOT GAS PRESSURE SAFETY VALVE B located at PAZ/FPSOT/GAS/COMP /TO-PSV-314547B,Pressure Safety Device
 Overhaul described as OPEN DRAIN THERMAL SAFETY VALVE located at PAZ/FPSOT/ELE/PWG  /TO-TSV-72035B,Pressure Safety Device
 Overhaul described as HEATER  PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV1-21011B2,Pressure Safety Device
 Overhaul described as DISCHARGE PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOH/HSG/ACCOM/HU-PSV-820502A,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV1-21011A1,Pressure Safety Device
 Overhaul described as PIG TRAP PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20067,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010701B,Pressure Safety Device
 Scrap/Replace described as PRODUCED WATER SAND JETTING PSV located at PAZ/FPSOT/OIL/SEP  /TO-PSV-271533,Pressure Safety Device
 Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-27531A,Pressure Safety Device
  Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSV-9158,Pressure Safety Device
  Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSV-9159,Pressure Safety Device
 Scrap/Replace described as OUTLET FILTER UNIT THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-TSV-510545A,Pressure Safety Device
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75099B,Pressure Safety Device
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV2-75099B,Pressure Safety Device
 Scrap/Replace described as OUTLET FILTER UNIT THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-TSV-510545B,Pressure Safety Device
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75099C,Pressure Safety Device
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV2-75099C,Pressure Safety Device
 Scrap/Replace described as OUTLET FILTER UNIT THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-TSV-510505C,Pressure Safety Device
 Overhaul described as PSD-2024//VPASS-PSV-31535 PASSING REPAIR located at PAZ/FPSOT/GAS/COMP /TO-PSV-31535,Pressure Safety Device
" Scrap/replace described as PSD-2024//HU-UZ-0101C:	PSV-016069C SCRAP located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016069C",Pressure Safety Device
 Overhaul described as PSD-2024//TO-SZ-0106B: PSV-010601A SCRAP located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010601A,Pressure Safety Device
 Overhaul described as VPASS - PSV2-70044 PASSING REPAIR // VI located at PAZ/FPSOT/COF/FG   /TO-PSV2-70044,Pressure Safety Device
 Overhaul described as PSD-2024//TO-V_-7001: PSV2-70009  VISUAL located at PAZ/FPSOT/COF/FG   /TO-PSV2-70009,Pressure Safety Device
 Overhaul described as VPASS - PSV1-31448A PASSING // VI located at PAZ/FPSOT/GAS/COMP /TO-PSV1-31448A,Pressure Safety Device
 Scrap/replace described as TO-UZ-6032E:TSV-602585E Exchange located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602585E,Pressure Safety Device
 Scrap/replace described as ES-6062E1: TSV-602575E Exchange located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602575E,Pressure Safety Device
 Replace/Scrap described as PSD-2024//TO-P_-2901C: TSV-29020 located at PAZ/FPSOT/OIL/SDS  /TO-TSV-29020,Pressure Safety Device
 Replace/Scrap described as PSD-2024//TO-P_-2901B:TSV-29031 exchange located at PAZ/FPSOT/OIL/SDS  /TO-TSV-29031,Pressure Safety Device
 BV tasks & intrusive major inspection described as PORT WING BALLAST 1P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611A,FU Items
 COR - WB5S - CP Measurement described as STARBOARD WING BALLAST 5S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612E,Corrosion Monitoring
 VII described as LP GAS CONDENSER B located at PAZ/FPSOT/GAS/COMP /TO-ES-3133B,Pressure Vessel (VII)
 VII described as HP COMPRESSOR SUCTION SCRUBBER located at PAZ/FPSOT/GAS/COMP /TO-V_-3150,Pressure Vessel (VII)
 VII described as LP FUEL GAS SCRUBBER located at PAZ/FPSOT/COF/FG   /TO-V_-7002,Pressure Vessel (VII)
 VII described as FLARE & HC BLANKET PACKAG TUBE EXCHANGER located at PAZ/FPSOT/GAS/COMP /TO-ES-3170,Pressure Vessel (VII)
 SCD + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/DEHYD/IPC-_HG-TO30-01-G49,Piping
 VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPC-_FG-TO70-09-F01,Piping
 VII described as HHP COMPRESSOR AFTER COOLER located at PAZ/FPSOT/GAS/COMP /TO-ES-3166,Pressure Vessel (VII)
 Overhaul described as OUTLET GAS COMPRESSOR PRES SAFETY VALV B located at PAZ/FPSOT/GAS/COMP /TO-PSV2-31330B,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-04-D03,Piping
 VIE described as AIR START GAS VESSEL A5 located at PAZ/FPSOH/CRS/FWAT /HU-VB-0101A5,Pressure Vessel (VIE)
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-22-H21,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-02-H49P,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-05-D03,Piping
 BV Class Intermediate Survey described as STARBOARD CENTRAL BALLAST 1S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8610A,FU Items
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-17-D70,Piping
 VIE described as MAIN TGD FUEL GAS SEPARATOR located at PAZ/FPSOT/ELE/PWG  /TO-VZ-6040D,Pressure Vessel (VIE)
 VIE described as HULL CHILLED WATER BUFFER TANK located at PAZ/FPSOH/CRS/HVAC /HU-VZ-0912,Pressure Vessel (VIE)
 BV Class Intermediate Survey described as AFT PEAK TANK PORT located at PAZ/FPSOH/HSG/STRUC/HU-T_-8603,FU Items
 BV Class Intermediate Survey described as AFT PEAK TANK CENTRAL located at PAZ/FPSOH/HSG/STRUC/HU-T_-8604,FU Items
 BV Class Intermediate Survey described as AFT PEAK TANK STARBOARD located at PAZ/FPSOH/HSG/STRUC/HU-T_-8605,FU Items
 BV Class Intermediate Survey described as FORE PEAK TANK PORT located at PAZ/FPSOH/HSG/STRUC/HU-T_-8606,FU Items
 BV Class Intermediate Survey described as FORE PEAK TANK STARBOARD located at PAZ/FPSOH/HSG/STRUC/HU-T_-8608,FU Items
 BV Intermediate inspection described as PORT CENTRAL BALLAST 2P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8609B,FU Items
 BV tasks & intrusive major inspection described as PORT WING BALLAST 7P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611G,FU Items
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPC-_FG-TO70-04-D49,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-16-D70,Piping
 VII described as P.W SURGE DRUM located at PAZ/FPSOT/OIL/OWAT /TO-V_-2713,Pressure Vessel (VII)
 VII described as FUEL GAS START-UP COOLER located at PAZ/FPSOT/COF/FG   /TO-ES-7002,Pressure Vessel (VII)
 Remote Int. Inspection-TO-FH-3610 described as HP FLARE TIP located at PAZ/FPSOT/GAS/FLARE/TO-FH-3610,Flare Tip
 Remote Int. Inspection-TO-FL-3620 described as LP FLARE TIP located at PAZ/FPSOT/GAS/FLARE/TO-FL-3620,Flare Tip
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-07-D03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-06-D49,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-20-G21,Piping
 COR - WBC1P - CP Measurement described as PORT CENTRAL BALLAST 1P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8609A,Corrosion Monitoring
 COR - WBC1S - CP Measurement described as STARBOARD CENTRAL BALLAST 1S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8610A,Corrosion Monitoring
 BV tasks & intrusive major inspection described as METHANOL TANK A located at PAZ/FPSOH/COF/CHEM /HU-T_-7511A,FU Items
 BP_SB-visual inspection of tertiary stru described as BOATLANDING PLATFORM STARBOARD AFT located at PAZ/FPSOH/HSG/STRUC/BOATLANDING STBD AFT,FU Items
 BV tasks & intrusive major inspection described as METHANOL STORAGE TANK TANK B located at PAZ/FPSOH/COF/CHEM /HU-T_-7511B,FU Items
 BV tasks & intrusive major inspection described as MAIN PROD WATER ATM. DECAN. TANK 2711B located at PAZ/FPSOH/OIL/OWAT /HU-T_-2711B,FU Items
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HC-TO21-05-D03,Piping
 VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPC-_FG-TO70-01-F01,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-04-H49P,Piping
 NDT + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-28-B03,Piping
 NDT + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-03-D03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-24-J21N,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-29-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-06-D03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-05-D49,Piping
 VIE described as Utility water piping group located at PAZ/FPSOH/COF/COOLW/IPC-_UW-HU76-02-_95,Piping
 CLASS PSV-Overhaul described as TANK PRESSURE VACUUM SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PVSV-27037B,Pressure Safety Device
 Overhaul described as TO V-2011B  PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV2-20145B,Pressure Safety Device
 Overhaul described as TO V-2011B  PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV5-20145B,Pressure Safety Device
 CLASS PVSV-Overhaul described as METHANOL STORAGE TANK PVSV located at PAZ/FPSOH/COF/CHEM /HU-PVSV-75013A,Pressure Safety Device
 VII described as LP SEPARATOR A located at PAZ/FPSOT/OIL/SEP  /TO-V_-2011A,Pressure Vessel (VII)
 VII described as LP SEPARATOR B located at PAZ/FPSOT/OIL/SEP  /TO-V_-2011B,Pressure Vessel (VII)
 VII described as ELECTROSTATIC DEHYDRATOR TRAIN A located at PAZ/FPSOT/OIL/STAB /TO-V_-2111A,Pressure Vessel (VII)
 VII described as HP FLARE K.O. DRUM located at PAZ/FPSOT/GAS/FLARE/TO-V_-3610,Pressure Vessel (VII)
 VII described as PRODUCED WATER SAND JETTING FILTER UNIT located at PAZ/FPSOT/OIL/SEP  /TO-VF-2001,Pressure Vessel (VII)
 MTANDEM CHAFFING CHAIN SB/WEAR MEASUR described as TANDEM CHAFFING CHAIN SB located at PAZ/FPSOT/OIL/LOAD /TO-V_-2501 SB MT,FU Items
 MTANDEM CHAFFING CHAIN PS/WEAR MEASUR described as TANDEM CHAFFING CHAIN PS located at PAZ/FPSOT/OIL/LOAD /TO-V_-2501 PS MT,FU Items
 Overhaul described as TO HP COLD FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/FG   /TO-PSV1-70009,Pressure Safety Device
 CLASS PSV-Overhaul described as METHANOL STORAGE TANK PVSV located at PAZ/FPSOH/COF/CHEM /HU-PVSV-75013B,Pressure Safety Device
 APZP2386 Replacement described as SYSTEM TANK PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-2386,Pressure Safety Device
 APZP2390 Replacement described as P20 B.F PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-2390,Pressure Safety Device
 APZP2387 Replacement described as SYSTEM TANK PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-2387,Pressure Safety Device
 APZP3386 Replacement described as SYSTEM TANK PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-3386,Pressure Safety Device
 APZP3387 Replacement described as SYSTEM TANK PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-3387,Pressure Safety Device
 Overhaul described as OUTLET GAS PRESSURE SAFETY VALVE 1 located at PAZ/FPSOT/GAS/COMP /TO-PSV1-31519,Pressure Safety Device
 Overhaul described as TO V-2011A  PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV5-20145A,Pressure Safety Device
 Overhaul described as TO DIPSOSAL CAISSON PRESS. SAFETY VALVE1 located at PAZ/FPSOT/WAT/WINJ /TO-PSV1-54017,Pressure Safety Device
 BV Class Intermediate Survey described as STARBOARD SLOP TANK located at PAZ/FPSOH/OIL/DRAIN/HU-T_-2801B,FU Items
 12 Monthly Dead Leg Radiographic Survey described as CLOV - TOPSIDES located at CLV/FPSOT,Campaign
 CLV/ Flexible hoses inspection VIE described as CLOV - TOPSIDES located at CLV/FPSOT,Campaign
 CLOV Color coding Campaign described as Lifting equipment located at CLV/FPSOH/COF/LIFT,Campaign
 12 Monthly Dead Leg Radiographic Survey described as CLOV - HULL located at CLV/FPSOH,Campaign
 CLV Gas cylinders inspection campaign described as CLV-GAS CYLINDERS & ACCUMULATORS located at CLV/FPSOT/CRS/SAFE /GC-ACC,Campaign
 CLOV Color coding Campaign described as Lifting equipment located at CLV/FPSOH/COF/LIFT,Campaign
 PROD-RING-P10 - Int Pigging / 60M described as PROD-RING-P10-INSPECTION located at CLV/SUB  /EXT/EWELL/PROD-RING-P10,Intelligent Pigging
 Remote External inspection VIE described as HP FLARE TIP located at CLV/FPSOT/GAS/FLARE/TO-FL-3610,Flare TIP
 Remote External inspection VIE described as LP FLARE TIP located at CLV/FPSOT/GAS/FLARE/TO-FL-3620,Flare TIP
 COR - APT_P_CP Measurement described as PORT WING BALLAST BUFFER TANK B located at CLV/FPSOH/HSG/STRUC/HU-TR-8631B,Corrosion Monitoring
 COR - APT_P_CP Measurement described as PORT WING BALLAST BUFFER TANK C located at CLV/FPSOH/HSG/STRUC/HU-TR-8631C,Corrosion Monitoring
 COR - APT_P_CP Measurement described as PORT WING BALLAST BUFFER TANK D located at CLV/FPSOH/HSG/STRUC/HU-TR-8631D,Corrosion Monitoring
 COR - APT_P_CP Measurement described as PORT WING BALLAST BUFFER TANK E located at CLV/FPSOH/HSG/STRUC/HU-TR-8631E,Corrosion Monitoring
